Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41033900] Освітня субвенція (зарплати),[41032800] Облаштування безпечних умов (укриттів) у школах,[41033800] Майстерні профтехів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
1455000000,Новоодеська,0.0,0.0,0.0,0.0,0.0,52642100.0,0.0,0.0,0.0,0.0,0.0,52642100.0,0.0
1450300000,Олександрівська,0.0,0.0,0.0,0.0,0.0,31012049.0,43216933.0,0.0,0.0,0.0,0.0,74228982.0,0.0
1450700000,Ольшанська,0.0,0.0,0.0,0.0,0.0,24289900.0,0.0,0.0,0.0,0.0,0.0,24289900.0,0.0
1455100000,Очаківська,0.0,0.0,0.0,0.0,0.0,22365100.0,0.0,0.0,0.0,0.0,0.0,22365100.0,0.0
1455200000,Первомайська,0.0,1226400.0,0.0,0.0,245720.0,142531500.0,0.0,0.0,0.0,0.0,1472120.0,142531500.0,0.0
1451700000,Прибужанівська,0.0,0.0,0.0,0.0,0.0,25336700.0,0.0,0.0,0.0,0.0,0.0,25336700.0,0.0
1452300000,Прибузька,0.0,0.0,0.0,0.0,0.0,17669400.0,53878337.0,0.0,0.0,0.0,0.0,71547737.0,0.0
1455700000,Південноукраїнська,0.0,0.0,0.0,0.0,0.0,88740200.0,0.0,0.0,0.0,0.0,0.0,88740200.0,0.0
1452700000,Радсадівська,0.0,0.0,0.0,0.0,0.0,18768600.0,0.0,0.0,0.0,0.0,0.0,18768600.0,0.0
1455500000,Синюшинобрідська,0.0,0.0,0.0,0.0,0.0,20957800.0,0.0,0.0,0.0,0.0,0.0,20957800.0,0.0
1453200000,Снігурівська,0.0,0.0,0.0,0.0,0.0,52321200.0,28572114.0,0.0,0.0,0.0,0.0,80893314.0,0.0
1454000000,Софіївська,0.0,0.0,0.0,0.0,0.0,21001900.0,0.0,0.0,0.0,0.0,0.0,21001900.0,0.0
1455600000,Степівська,0.0,0.0,0.0,0.0,0.0,30610400.0,41073208.0,0.0,0.0,0.0,0.0,71683608.0,0.0
1454100000,Сухоєланецька,0.0,0.0,0.0,0.0,0.0,14796600.0,0.0,0.0,0.0,0.0,0.0,14796600.0,0.0
1451800000,Чорноморська,0.0,0.0,0.0,0.0,0.0,19982300.0,0.0,0.0,0.0,0.0,0.0,19982300.0,0.0
1452600000,Широківська,0.0,0.0,0.0,0.0,0.0,11447900.0,0.0,0.0,0.0,0.0,0.0,11447900.0,0.0
1553800000,Іванівська,0.0,0.0,0.0,0.0,0.0,59203000.0,0.0,0.0,0.0,0.0,0.0,59203000.0,0.0
