Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41038800] Програма відновлення України III,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41037900] Шкільні автобуси (разова програма за рахунок залишків),[41037400] Покращення якості гарячого харчування,[41031100] Забезпечення харчуванням учнів (нові коди),"[41038000] Для підтримки закладів освіти, які постраждали внаслідок агресії",[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2552300000,Тупичівська,0.0,0.0,0.0,0.0,0,0.0,13665100.0,0.0,22848302.0,0.0,49300.0,0.0,0.0,0.0,0.0,0.0,36562702.0,0.0
2553200000,Холминська,0.0,0.0,0.0,0.0,0,0.0,12847400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12847400.0,0.0
2555900000,Чернігівська,0.0,0.0,0.0,0.0,0,0.0,534506000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534506000.0,0.0
2556000000,Яблунівська,0.0,0.0,0.0,0.0,0,0.0,7959200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7959200.0,0.0
2453800000,Банилівська,0.0,0.0,0.0,0.0,0,0.0,33328100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33328100.0,0.0
2453900000,Берегометська,0.0,0.0,0.0,0.0,0,0.0,81192700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81192700.0,0.0
2454000000,Боянська,0.0,0.0,0.0,0.0,0,0.0,24053700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24053700.0,0.0
2454100000,Брусницька,0.0,0.0,0.0,0.0,0,0.0,32298600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32298600.0,0.0
2453400000,Ванчиковецька,0.0,0.0,0.0,0.0,0,0.0,35087400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087400.0,0.0
2450100000,Вашковецька,0.0,0.0,0.0,0.0,0,0.0,17898700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17898700.0,0.0
2451100000,Вашківецька,0.0,0.0,0.0,0.0,0,0.0,44310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44310000.0,0.0
2450200000,Великокучурівська,0.0,0.0,0.0,0.0,0,0.0,45235300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45235300.0,0.0
2454200000,Веренчанська,0.0,0.0,0.0,0.0,0,0.0,26754500.0,0.0,0.0,0.0,116200.0,0.0,0.0,0.0,0.0,0.0,26870700.0,0.0
2451200000,Вижницька,0.0,0.0,0.0,0.0,0,0.0,76588200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76588200.0,0.0
