Код громади,Назва громади,Вид кластеризації,Рік,Кластер,Відстань до центроїда
0457300000,Верхівцівська,Пул (Математичний),2022,0,1.2009534776737976
0452000000,Вишнівська,Пул (KMeans),2022,2,0.43040039806334784
0452000000,Вишнівська,Пул (Математичний),2022,0,1.251964136858
0457400000,Вільногірська,Пул (KMeans),2022,0,0.791281898224323
0457400000,Вільногірська,Пул (Математичний),2022,1,0.03126332144532081
0456300000,Глеюватська,Пул (KMeans),2022,0,0.8758153245050918
0456300000,Глеюватська,Пул (Математичний),2022,1,0.33209091532532903
0453000000,Гречаноподівська,Пул (KMeans),2022,2,0.43396224556746704
0453000000,Гречаноподівська,Пул (Математичний),2022,0,1.249804508012999
0450700000,Грушівська,Пул (KMeans),2022,2,0.4546208061819727
0450700000,Грушівська,Пул (Математичний),2022,0,1.2380170869348484
0457500000,Губиниська,Пул (KMeans),2022,2,1.7991680985489318
0457500000,Губиниська,Пул (Математичний),2022,0,2.345666534441232
0455600000,Девладівська,Пул (KMeans),2022,2,0.3389753174434476
0455600000,Девладівська,Пул (Математичний),2022,0,1.2370252589402575
0457600000,Дніпровська,Пул (KMeans),2022,0,2.3590603824307776
0457600000,Дніпровська,Пул (Математичний),2022,1,2.9816108772760646
0453500000,Дубовиківська,Пул (KMeans),2022,2,0.4073789979987236
0453500000,Дубовиківська,Пул (Математичний),2022,0,1.2233263037999575
0457700000,Жовтоводська,Пул (KMeans),2022,2,0.34448871838320183
0457700000,Жовтоводська,Пул (Математичний),2022,0,1.216070130386845
0454500000,Зайцівська,Пул (KMeans),2022,0,0.966056355068605
0454500000,Зайцівська,Пул (Математичний),2022,1,0.5100475115902428
0456400000,Затишнянська,Пул (KMeans),2022,2,0.36579444995110394
0456400000,Затишнянська,Пул (Математичний),2022,0,1.2431634314329316
0450600000,Зеленодольська,Пул (KMeans),2022,2,0.3664726628718233
0450600000,Зеленодольська,Пул (Математичний),2022,0,1.2056484524159907
0455400000,Українська,Пул (KMeans),2022,2,0.4965111977378608
0455400000,Українська,Пул (Математичний),2022,0,1.300498141099156
0455400000,Українська,Пул (KMeans),2022,2,0.4965111977378608
0455400000,Українська,Пул (Математичний),2022,0,1.300498141099156
